District,Code
Tapi,GJ31
Tarn Taran,PB23
Tawang,AR19
Tehri Garhwal,UK11
Tengnoupal,MN14
Tenkasi,TN25
Thane,MH33
Thanjavur,TN26
Theni,TN27
Thiruvananthapuram,KL12
Thoothukudi,TN28
Thoubal,MN15
Thrissur,KL13
Tikamgarh,MP52
Tinsukia,AS32
Tirap,AR20
Tiruchirappalli,TN29
Tirunelveli,TN30
Tirupattur,TN31
Tiruppur,TN32
Tiruvallur,TN33
Tiruvannamalai,TN34
Tiruvarur,TN35
Tonk,RJ32
Tuensang,NL10
Tumakuru,KA27
Udaipur,RJ33
Udalguri,AS33
Udham Singh Nagar,UK12
Udhampur,JK20
Udupi,KA28
Ujjain,MP53
Ukhrul,MN16
Umaria,MP54
Una,HP12
Unnao,UP74
Unokoti,TR07
Upper Dibang Valley,AR21
Upper Siang,AR22
Upper Subansiri,AR23
Uttar Dinajpur,WB23
Uttara Kannada,KA29
Uttarkashi,UK13
Vadodara,GJ32
Vaishali,BR37
Valsad,GJ33
Varanasi,UP75
Vellore,TN36
Vidisha,MP55
Vijayanagara,KA30
Vikarabad,TG29
Viluppuram,TN37
Virudhunagar,TN38
Visakhapatnam,AP10
Vizianagaram,AP11
Wanaparthy,TG30
Warangal Rural,TG31
Warangal Urban,TG32
Wardha,MH34
Washim,MH35
Wayanad,KL14
West Champaran,BR38
West Delhi,DL11
West Garo Hills,ML09
West Godavari,AP12
West Jaintia Hills,ML10
West Kameng,AR24
West Karbi Anglong,AS34
West Khasi Hills,ML11
West Siang,AR25
West Sikkim,SK04
West Singhbhum,JH24
West Tripura,TR08
Wokha,NL11
YSR,AP13
Yadadri Bhuvanagiri,TG33
Yadgir,KA31
Yamuna Nagar,HR22
Yanam,PY04
Yavatmal,MH36
Zunheboto,NL12
